No._Ruas,Nama_Ruas_Jalan,Kec._Yang_dilalui,Panjang_Ruas_(Km),Lebar_Ruas_(m),P.Aspal,P.Beton,P.Kerikil,P.Tanah,KB%,KB_Km,KS%,KS_Km,KRR%,KRR_Km,KRB%,KRB_Km,LHR_Rerata,Akses_Ke_Jalan,Ket.,Prioritas_Jalan,Total_Kondisi,Total_Kerusakan,Kategori_Kerusakan
34 001 K,JL. GUNUNG KINIBALU I (SAMARINDA),Samarinda,0.12,9.0,0.12,0.0,0.0,0.0,83.33,0.1,16.67,0.02,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
34 002 K,JL. JENDERAL SUDIRMAN II (SAMARINDA),Samarinda,0.27,11.0,0.27,0.0,0.0,0.0,0.0,0.0,100.0,0.27,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 003 K,JL. AWANG LONG I (SAMARINDA),Samarinda,0.44,11.0,0.44,0.0,0.0,0.0,100.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 004 K,JL. TENGKAWANG (SAMARINDA),Samarinda,0.58,8.0,0.58,0.0,0.0,0.0,100.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 005 K,JL. PANGERAN SURYANATA ( SAMARINDA ),Samarinda,9.16,8.0,4.75,4.41,0.0,0.0,32.04,2.94,63.59,5.83,4.37,0.4,0.0,0.0,-,-,N,Prioritas,95.63,4.37,Baik
34 006 K,JL. MT. HARYONO (SAMARINDA),Samarinda,2.57,7.5,2.27,0.3,0.0,0.0,41.63,1.07,58.37,1.5,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
34 007 K,JL. TEUKU UMAR (SAMARINDA),Samarinda,3.96,8.0,0.07,3.89,0.0,0.0,6.06,0.24,93.94,3.72,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 008 K,JL. UNTUNG SUROPATI (SAMARINDA),Samarinda,1.46,11.0,0.3,1.16,0.0,0.0,0.0,0.0,100.0,1.46,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 009 K,JL. KH. MAS MANSYUR (SAMARINDA),Samarinda,2.93,7.0,0.0,2.93,0.0,0.0,0.0,0.0,100.0,2.93,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 010 K,JL. K.H HASYIM ASHARI (SAMARINDA),Samarinda,0.47,7.0,0.0,0.47,0.0,0.0,0.0,0.0,100.0,0.47,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 011 K,JL. TERATAI (SAMARINDA),Samarinda,0.65,7.0,0.0,0.65,0.0,0.0,0.0,0.0,100.0,0.65,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 012 K,JL. TELUK AMBULUNG (SAMARINDA),Samarinda,0.42,8.0,0.0,0.42,0.0,0.0,0.0,0.0,76.19,0.32,23.81,0.1,0.0,0.0,-,-,P,Prioritas,76.19,23.81,Baik
34 013 K,JL. HARTATI (SAMARINDA),Samarinda,0.7,8.0,0.0,0.7,0.0,0.0,0.0,0.0,100.0,0.7,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 014 K,JL. JEMBATAN MAHAKAM ULU,Samarinda,1.47,7.0,1.47,0.0,0.0,0.0,0.0,0.0,100.0,1.47,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34015,JL. STADION PALARAN,Samarinda,1.68,14.0,1.68,0.0,0.0,0.0,100.0,1.68,0.0,0.0,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34016,JL. LINGKAR STADION PALARAN,Samarinda,3.38,20.0,0.0,3.38,0.0,0.0,73.37,2.48,0.0,0.0,0.0,0.0,26.63,0.9,-,-,P,Prioritas,73.37,26.63,Baik
34017,JL. SIMPANG PASIR (SAMARINDA),Samarinda,4.87,7.0,0.0,4.87,0.0,0.0,12.32,0.6,62.01,3.02,25.67,1.25,0.0,0.0,-,-,P,Prioritas,74.33,25.67,Baik
34 018 K,JL. APT. PRANOTO (SAMARINDA),Samarinda,1.9,18.0,1.67,0.23,0.0,0.0,10.53,0.2,89.47,1.7,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34019,JL. CIPTO MANGUN KUSUMO (SAMARINDA),Samarinda,9.53,6.0,8.85,0.68,0.0,0.0,0.0,0.0,100.0,9.53,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
34 020 K,JL. MOEIS HASAN (SAMARINDA),Samarinda,2.36,19.0,0.0,2.36,0.0,0.0,0.0,0.0,100.0,2.36,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 021 K,JL. KADRIE OENING (SAMARINDA),Samarinda,1.79,7.0,0.73,1.07,0.0,0.0,0.0,0.0,83.8,1.5,16.2,0.29,0.0,0.0,-,-,N,Prioritas,83.8,16.2,Baik
34 022 K,Jl. R. SOEPRAPTO (SAMARINDA),Samarinda,1.1,14.0,1.1,0.0,0.0,0.0,0.0,0.0,100.0,1.1,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
34 023 K,Jl. S. PARMAN (SAMARINDA),Samarinda,1.1,14.0,0.85,0.25,0.0,0.0,0.0,0.0,100.0,1.1,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 024 K,Jl. AHMAD YANI (SAMARINDA),Samarinda,2.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 025 K,JL. D.I. PANDJAITAN II (SAMARINDA),Samarinda,1.03,14.0,1.03,0.0,0.0,0.0,0.0,0.0,100.0,1.03,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
34026,SIMP.(PJNG SAMARINDA),Samarinda,2.05,14.0,2.05,0.0,0.0,0.0,65.85,1.35,34.15,0.7,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34027,JL. NUSYIRWAN ISMAIL (RING ROAD II SAMARINDA),Samarinda,5.66,14.0,2.81,2.85,0.0,0.0,0.0,0.0,91.17,5.16,8.83,0.5,0.0,0.0,-,-,P,Prioritas,91.17,8.83,Baik
34028,JL. HM. ARDANS (RINGROAD III SAMARINDA),Samarinda,5.07,14.0,3.65,1.42,0.0,0.0,72.78,3.69,27.22,1.38,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34 029 K,JL. KH. WAHID HASYIM II (SAMARINDA),Samarinda,2.0,10.0,0.99,1.01,0.0,0.0,75.0,1.5,25.0,0.5,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
34030,JL. BATU BESAUNG (SAMARINDA),Samarinda,20.9,5.0,4.2,16.05,0.0,0.65,22.92,4.79,62.87,13.14,2.39,0.5,11.82,2.47,-,-,P,Prioritas,85.78999999999999,14.21,Baik
34031,BTS. SAMARINDA - SIMP. 4 SAMBERA,Kutai Kartanegara,12.59,6.0,1.8,10.6,0.19,0.0,0.0,0.0,75.14,9.46,11.2,1.41,13.66,1.72,-,-,N,Prioritas,75.14,24.86,Baik
34032,SIMP. 4 SAMBERA - MUARA BADAK,Kutai Kartanegara,18.0,7.0,16.62,1.38,0.0,0.0,0.0,0.0,97.78,17.6,2.22,0.4,0.0,0.0,-,-,N,Prioritas,97.78,2.22,Baik
34033,MUARA BADAK - BTS. BONTANG,Kutai Kartanegara,52.77,5.0,15.22,37.56,0.0,0.0,2.14,1.13,82.22,43.39,11.17,5.9,4.47,2.36,-,-,P,Prioritas,84.36,15.64,Baik
34 034 K,JL. LETJEN URIP SUMOHARJO (BONTANG),Bontang,6.21,14.0,2.96,3.25,0.0,0.0,46.71,2.9,36.38,2.26,5.64,0.35,11.27,0.7,-,-,P,Prioritas,83.09,16.91,Baik
34 035 K,JL. MOH. ROEM (BONTANG),Bontang,5.17,14.0,5.17,0.0,0.0,0.0,19.34,1.0,67.12,3.47,13.54,0.7,0.0,0.0,-,-,P,Prioritas,86.46000000000001,13.54,Baik
34 036 K,JL. IR. SOEKARNO HATTA (BONTANG),Bontang,10.91,14.0,9.63,1.28,0.0,0.0,10.5,1.15,78.19,8.53,11.31,1.23,0.0,0.0,-,-,N,Prioritas,88.69,11.31,Baik
34037,BTS. KUTIM - PELABUHAN LHOK TUAN,Bontang,4.31,13.0,4.31,0.0,0.0,0.0,0.0,0.0,100.0,4.31,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34038,SIMP. 4 BATU BESAUNG - BTS. KUKAR,Samarinda,2.72,7.0,0.0,2.72,0.0,0.0,100.0,2.72,0.0,0.0,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34039,BTS. SAMARINDA - SIMP. 3 L2,Kutai Kartanegara,2.94,6.0,0.0,2.94,0.0,0.0,0.0,0.0,96.6,2.84,3.4,0.1,0.0,0.0,-,-,P,Prioritas,96.6,3.4,Baik
34 040 K,JL. PANGERAN SURIANSYAH (SAMARINDA),Samarinda,0.62,6.0,0.28,0.35,0.0,0.0,0.0,0.0,100.0,0.62,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
34041,SAMARINDA - ANGGANA,Samarinda,18.1,7.0,10.34,7.76,0.0,0.0,59.72,10.81,40.28,7.29,0.0,0.0,0.0,0.0,-,-,P,Non Prioritas,100.0,0.0,Baik
34042,SAMARINDA SEBERANG - JEMBATAN SANGA SANGA,Samarinda,24.16,7.0,12.32,11.84,0.0,0.0,21.52,5.2,77.92,18.83,0.56,0.14,0.0,0.0,-,-,P,Prioritas,99.44,0.56,Baik
34043,JEMBATAN SANGA SANGA - DONDANG,Kutai Kartanegara,18.02,7.0,4.88,12.89,0.25,0.0,51.94,9.36,46.67,8.41,0.0,0.0,1.39,0.25,-,-,P,Prioritas,98.61,1.39,Baik
34044,DONDANG - SIMP. SAMBOJA,Kutai Kartanegara,44.67,6.0,23.01,21.66,0.0,0.0,13.64,6.09,66.98,29.92,19.38,8.66,0.0,0.0,-,-,P,Prioritas,80.62,19.38,Baik
34045,SIMP. SAMBOJA - KM. 38,Kutai Kartanegara,7.1,7.0,5.91,1.19,0.0,0.0,0.0,0.0,100.0,7.1,0.0,0.0,0.0,0.0,-,-,N,Non Prioritas,100.0,0.0,Baik
